tanel@mac18:optviz$ ./cbosummary.py orders.trc 
|###                           | 6.003323             | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E]: 3.002294
|###                           | 8.020573             | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O]: 2.01725
|####                          | 13.040938            | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O];CUSTOMERS[C]: 5.020365
|####                          | 16.063095            | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O];CUSTOMERS[C];ORDER_ITEMS[OI]: 3.022157
|####                          | 21.084734            | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O];CUSTOMERS[C];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|#######                       | 110.281882           | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O];CUSTOMERS[C];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I];PRODUCT_DESCRIPTIONS[D]: 89.197148
|###                           | 11.04273             | SEL$4B12EFE6 | DEPARTMENTS[D];ORDER_ITEMS[OI]: 8.041701
|####                          | 16.064369            | SEL$4B12EFE6 | DEPARTMENTS[D];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|#######                       | 103.256529           | SEL$4B12EFE6 | DEPARTMENTS[D];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I];PRODUCT_DESCRIPTIONS[D]: 87.19216
|####                          | 21.085315            | SEL$4B12EFE6 | DEPARTMENTS[D];CUSTOMERS[C]: 18.084286
|####                          | 16.064362            | SEL$4B12EFE6 | DEPARTMENTS[D];CUSTOMERS[C]: 13.063333
|####                          | 21.086001            | SEL$4B12EFE6 | DEPARTMENTS[D];CUSTOMERS[C];PRODUCT_INFORMATION[I]: 5.021639
|##                            | 5.019077             | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E]: 3.017774
|###                           | 8.035913             | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D]: 3.016836
|####                          | 13.056278            | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D];CUSTOMERS[C]: 5.020365
|####                          | 16.078435            | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D];CUSTOMERS[C];ORDER_ITEMS[OI]: 3.022157
|####                          | 21.100074            | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D];CUSTOMERS[C];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|###                           | 11.05807             | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI]: 9.056767
|####                          | 16.079709            | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|#######                       | 103.271869           | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I];PRODUCT_DESCRIPTIONS[D]: 87.19216
|####                          | 21.100655            | SEL$4B12EFE6 | ORDERS[O];CUSTOMERS[C]: 19.099352
|####                          | 16.079702            | SEL$4B12EFE6 | ORDERS[O];CUSTOMERS[C]: 14.078399
|####                          | 21.101341            | SEL$4B12EFE6 | ORDERS[O];CUSTOMERS[C];PRODUCT_INFORMATION[I]: 5.021639
|###                           | 10.039446            | SEL$4B12EFE6 | ORDERS[O];CUSTOMERS[C]: 8.038143
|####                          | 13.056282            | SEL$4B12EFE6 | ORDERS[O];CUSTOMERS[C];DEPARTMENTS[D]: 3.016836
|####                          | 16.078439            | SEL$4B12EFE6 | ORDERS[O];CUSTOMERS[C];DEPARTMENTS[D];ORDER_ITEMS[OI]: 3.022157
|####                          | 21.100078            | SEL$4B12EFE6 | ORDERS[O];CUSTOMERS[C];DEPARTMENTS[D];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|####                          | 13.061607            | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI]: 11.060304
|####                          | 16.079235            | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI];DEPARTMENTS[D]: 3.017628
|####                          | 21.100874            | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI];DEPARTMENTS[D];PRODUCT_INFORMATION[I]: 5.021639
|####                          | 18.083256            | SEL$4B12EFE6 | ORDERS[O];PRODUCT_INFORMATION[I]: 16.081953
|####                          | 21.100193            | SEL$4B12EFE6 | ORDERS[O];PRODUCT_INFORMATION[I];DEPARTMENTS[D]: 3.016937
|#######                       | 105.275422           | SEL$4B12EFE6 | ORDERS[O];PRODUCT_DESCRIPTIONS[D]: 103.274119
|###                           | 8.041238             | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI]: 6.039935
|###                           | 11.058866            | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI];DEPARTMENTS[D]: 3.017628
|####                          | 16.080505            | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI];DEPARTMENTS[D];PRODUCT_INFORMATION[I]: 5.021639
|#######                       | 103.272666           | SEL$4B12EFE6 | ORDERS[O];ORDER_ITEMS[OI];DEPARTMENTS[D];PRODUCT_INFORMATION[I];PRODUCT_DESCRIPTIONS[D]: 87.192161
